x_m_w,y_m_w,z_m_w,vx_m_s,vy_m_s,vz_m_s
-880.0,-774.0,50,-4.662040993600806,5.221625587303786,0
-882.7972245961605,-770.8670246476178,50,-6.1667866512507095,3.312211104074748,0
-886.4972965869108,-768.8796979851729,50,-6.9277268266818615,1.003295078664531,0
-890.65393268292,-768.2777209379742,50,-6.853080904456314,-1.4266331402908865,0
-894.7657812255937,-769.1337008221487,50,-6.996699451739255,-0.21493436679975442,0
-898.9638008966373,-769.2626614422286,50,-6.648258727594658,2.191039910855451,0
-902.952756133194,-767.9480374957153,50,-6.1667866512507095,3.312211104074748,0
-906.6528281239446,-765.9607108332705,50,-4.662040993600858,5.221625587303741,0
-909.4500527201051,-762.8277354808882,50,-2.594984387725486,6.501234961717734,0
-911.0070433527403,-758.9269945038576,50,-0.21493436679975314,6.996699451739255,0
-911.1360039728202,-754.7289748328141,50,2.1910399108554803,6.648258727594649,0
-909.8213800263069,-750.7400195962573,50,4.332742438956323,5.49793988305318,0
-907.2217345629331,-747.4412556664254,50,5.9518522844509825,3.6844883476645185,0
-903.6506231922625,-745.2305626578267,50,5.9518522844509825,3.6844883476645185,0
-900.079511821592,-743.019869649228,50,5.221625587303739,4.662040993600858,0
-896.9465364692097,-740.2226450530675,50,4.332742438956323,5.49793988305318,0
-894.3468910058359,-736.9238811232356,50,4.332742438956323,5.49793988305318,0
-891.7472455424621,-733.6251171934036,50,4.332742438956323,5.49793988305318,0
-889.1476000790883,-730.3263532635717,50,4.332742438956323,5.49793988305318,0
-886.5479546157145,-727.0275893337398,50,3.3122111040747475,6.16678665125071,0
-884.5606279532697,-723.3275173429894,50,4.332742438956323,5.49793988305318,0
-881.9609824898959,-720.0287534131575,50,3.3122111040747475,6.16678665125071,0
-879.973655827451,-716.328681422407,50,4.332742438956323,5.49793988305318,0
-877.3740103640772,-713.0299174925751,50,5.9518522844509825,3.6844883476645185,0
-873.8028989934066,-710.8192244839764,50,5.9518522844509825,3.6844883476645185,0
-870.2317876227361,-708.6085314753777,50,6.5012349617177,2.5949843877255683,0
-866.3310466457054,-707.0515408427424,50,5.951852284450897,3.6844883476646553,0
-862.7599352750349,-704.8408478341436,50,6.501234961717687,2.5949843877256016,0
-858.8591942980042,-703.2838572015082,50,5.951852284450897,3.6844883476646553,0
-855.2880829273338,-701.0731641929094,50,6.501234961717687,2.5949843877256016,0
-851.3873419503032,-699.5161735602741,50,5.951852284450897,3.6844883476646553,0
-847.8162305796326,-697.3054805516753,50,6.501234961717687,2.5949843877256016,0
-843.9154896026021,-695.7484899190399,50,5.951852284450897,3.6844883476646553,0
-840.3443782319314,-693.5377969104411,50,6.501234961717687,2.5949843877256016,0
-836.4436372549009,-691.9808062778058,50,5.951852284450897,3.6844883476646553,0
-832.8725258842303,-689.770113269207,50,5.2216255873036035,4.6620409936010105,0
-829.7395505318482,-686.9728886730463,50,4.332742438956172,5.497939883053299,0
-827.1399050684744,-683.6741247432143,50,2.191039910855253,6.648258727594723,0
-825.8252811219612,-679.6851695066574,50,-0.21493436679994266,6.996699451739249,0
-825.9542417420412,-675.4871498356139,50,1.003295078664332,6.92772682668189,0
-825.3522646948426,-671.3305137396047,50,1.003295078664332,6.92772682668189,0
-824.750287647644,-667.1738776435956,50,1.003295078664332,6.92772682668189,0
-824.1483106004454,-663.0172415475864,50,-0.21493436679994266,6.996699451739249,0
-824.2772712205253,-658.8192218765429,50,-0.21493436679994266,6.996699451739249,0
-824.4062318406053,-654.6212022054993,50,-0.21493436679994266,6.996699451739249,0
-824.5351924606853,-650.4231825344558,50,-0.21493436679994266,6.996699451739249,0
-824.6641530807652,-646.2251628634123,50,-0.21493436679994266,6.996699451739249,0
-824.7931137008452,-642.0271431923687,50,-0.21493436679994266,6.996699451739249,0
-824.9220743209252,-637.8291235213252,50,1.003295078664332,6.92772682668189,0
-824.3200972737266,-633.672487425316,50,-0.21493436679994266,6.996699451739249,0
-824.4490578938065,-629.4744677542725,50,-0.21493436679994266,6.996699451739249,0
-824.5780185138865,-625.276448083229,50,-0.21493436679994266,6.996699451739249,0
-824.7069791339665,-621.0784284121854,50,-0.21493436679994266,6.996699451739249,0
-824.8359397540464,-616.8804087411419,50,-0.21493436679994266,6.996699451739249,0
-824.9649003741264,-612.6823890700983,50,-0.21493436679994266,6.996699451739249,0
-825.0938609942064,-608.4843693990548,50,-0.21493436679994266,6.996699451739249,0
-825.2228216142863,-604.2863497280113,50,1.003295078664332,6.92772682668189,0
-824.6208445670877,-600.1297136320021,50,1.003295078664332,6.92772682668189,0
-824.0188675198891,-595.973077535993,50,-0.21493436679994266,6.996699451739249,0
-824.1478281399691,-591.7750578649494,50,1.003295078664332,6.92772682668189,0
-823.5458510927705,-587.6184217689403,50,-0.21493436679994266,6.996699451739249,0
-823.6748117128504,-583.4204020978967,50,-0.21493436679994266,6.996699451739249,0
-823.8037723329304,-579.2223824268532,50,-0.21493436679994266,6.996699451739249,0
-823.9327329530104,-575.0243627558096,50,-1.426633140291068,6.8530809044562755,0
-824.788712837185,-570.9125142131359,50,-1.426633140291068,6.8530809044562755,0
-825.6446927213597,-566.8006656704621,50,-1.426633140291068,6.8530809044562755,0
-826.5006726055343,-562.6888171277883,50,-1.426633140291068,6.8530809044562755,0
-827.356652489709,-558.5769685851145,50,-1.426633140291068,6.8530809044562755,0
-828.2126323738836,-554.4651200424407,50,-2.594984387725651,6.501234961717668,0
-829.7696230065189,-550.5643790654101,50,-0.21493436679994266,6.996699451739249,0
-829.898583626599,-546.3663593943666,50,-0.21493436679994266,6.996699451739249,0
-830.0275442466789,-542.168339723323,50,-0.21493436679994266,6.996699451739249,0
-830.156504866759,-537.9703200522795,50,-0.21493436679994266,6.996699451739249,0
-830.2854654868388,-533.7723003812359,50,-0.21493436679994266,6.996699451739249,0
-830.4144261069189,-529.5742807101924,50,-0.21493436679994266,6.996699451739249,0
-830.5433867269987,-525.3762610391489,50,-0.21493436679994266,6.996699451739249,0
-830.6723473470788,-521.1782413681053,50,-0.21493436679994266,6.996699451739249,0
-830.8013079671587,-516.9802216970618,50,2.191039910855253,6.648258727594723,0
-829.4866840206455,-512.9912664605049,50,4.332742438956172,5.497939883053299,0
-826.8870385572718,-509.69250253067287,50,5.951852284450897,3.6844883476646553,0
-823.3159271866012,-507.48180952207406,50,6.853080904456276,1.4266331402910675,0
