x_m_w,y_m_w,z_m_w,vx_m_s,vy_m_s,vz_m_s
-1090.0,-440.0,-50,-6.99248852150244,0.32419789736612425,0
-1094.1954931129014,-439.8054812615803,-50,-6.99248852150244,0.32419789736612425,0
-1098.3909862258029,-439.61096252316065,-50,-6.99248852150244,0.32419789736612425,0
-1102.5864793387043,-439.416443784741,-50,-6.99248852150244,0.32419789736612425,0
-1106.7819724516057,-439.2219250463213,-50,-6.99248852150244,0.32419789736612425,0
-1110.9774655645074,-439.02740630790163,-50,-6.99248852150244,0.32419789736612425,0
-1115.1729586774088,-438.83288756948195,-50,-6.99248852150244,0.32419789736612425,0
-1119.3684517903102,-438.6383688310623,-50,-6.99248852150244,0.32419789736612425,0
-1123.5639449032117,-438.4438500926426,-50,-6.99248852150244,0.32419789736612425,0
-1127.759438016113,-438.24933135422293,-50,-6.99248852150244,0.32419789736612425,0
-1131.9549311290145,-438.05481261580326,-50,-6.99248852150244,0.32419789736612425,0
-1136.150424241916,-437.8602938773836,-50,-6.99248852150244,0.32419789736612425,0
-1140.3459173548176,-437.6657751389639,-50,-6.99248852150244,0.32419789736612425,0
-1144.541410467719,-437.47125640054423,-50,-6.99248852150244,0.32419789736612425,0
-1148.7369035806205,-437.27673766212456,-50,-6.99248852150244,0.32419789736612425,0
-1152.932396693522,-437.0822189237049,-50,-6.896907891120281,-1.1969384033452992,0
-1157.070541428194,-437.80038196571206,-50,-6.896907891120281,-1.1969384033452992,0
-1161.2086861628661,-438.51854500771924,-50,-6.896907891120281,-1.1969384033452992,0
-1165.3468308975384,-439.2367080497264,-50,-5.744873300764349,-3.9995538198860308,0
-1168.793754877997,-441.63644034165804,-50,-3.5163389249231014,-6.05271513992445,0
-1170.903558232951,-445.2680694256127,-50,-3.5163389249231014,-6.05271513992445,0
-1173.0133615879047,-448.8996985095673,-50,-3.5163389249231014,-6.05271513992445,0
-1175.1231649428585,-452.53132759352195,-50,-5.744873300764349,-3.9995538198860308,0
-1178.5700889233171,-454.9310598854536,-50,-5.744873300764349,-3.9995538198860308,0
-1182.0170129037758,-457.3307921773852,-50,-5.744873300764349,-3.9995538198860308,0
-1185.4639368842343,-459.73052446931683,-50,-5.744873300764349,-3.9995538198860308,0
-1188.910860864693,-462.13025676124846,-50,-5.744873300764349,-3.9995538198860308,0
-1192.3577848451516,-464.5299890531801,-50,-5.744873300764349,-3.9995538198860308,0
-1195.8047088256103,-466.9297213451117,-50,-5.744873300764349,-3.9995538198860308,0
-1199.2516328060688,-469.32945363704334,-50,-3.5163389249231014,-6.05271513992445,0
-1201.3614361610228,-472.961082720998,-50,-3.5163389249231014,-6.05271513992445,0
-1203.4712395159765,-476.5927118049526,-50,-2.1229403239202944,-6.670316662728479,0
