x_m_w,y_m_w,z_m_w,vx_m_s,vy_m_s,vz_m_s
-331.34427916455,-986.3209369033067,-50.0,-3.92623552862953,-5.795228604095544,0
-333.70002048172773,-989.798074065764,-50.0,-3.92623552862953,-5.795228604095544,0
-336.05576179890545,-993.2752112282213,-50.0,-5.48717622698845,-4.346365959508334,0
-339.3480675350985,-995.8830308039263,-50.0,-6.540190430213721,-2.495177175380713,0
-343.27218179322676,-997.3801371091547,-50.0,-6.987804721843838,-0.4130195750530138,0
-347.4648646263331,-997.6279488541866,-50.0,-6.788585193268193,1.7073696359429174,0
-351.5380157422941,-996.6035270726209,-50.0,-4.581576447577466,5.292367830659869,0
-354.28696161084054,-993.4281063742249,-50.0,-0.7174302329305672,6.963138219285697,0
-354.7174197505989,-989.2502234426535,-50.0,3.406207563697867,6.115369983329499,0
-352.67369521238015,-985.5810014526558,-50.0,3.406207563697867,6.115369983329499,0
-350.6299706741614,-981.911779462658,-50.0,3.406207563697867,6.115369983329499,0
-348.5862461359427,-978.2425574726603,-50.0,3.406207563697867,6.115369983329499,0
-346.542521597724,-974.5733354826626,-50.0,3.406207563697867,6.115369983329499,0
-344.49879705950525,-970.9041134926649,-50.0,3.406207563697867,6.115369983329499,0
-342.4550725212865,-967.2348915026672,-50.0,3.406207563697867,6.115369983329499,0
-340.4113479830678,-963.5656695126695,-50.0,3.406207563697867,6.115369983329499,0
-338.3676234448491,-959.8964475226718,-50.0,3.406207563697867,6.115369983329499,0
-336.32389890663035,-956.2272255326741,-50.0,3.406207563697867,6.115369983329499,0
-334.2801743684116,-952.5580035426764,-50.0,3.406207563697867,6.115369983329499,0
-332.2364498301929,-948.8887815526787,-50.0,3.406207563697867,6.115369983329499,0
-330.19272529197417,-945.219559562681,-50.0,3.406207563697867,6.115369983329499,0
-328.14900075375544,-941.5503375726832,-50.0,3.406207563697867,6.115369983329499,0
-326.1052762155367,-937.8811155826855,-50.0,3.406207563697867,6.115369983329499,0
-324.061551677318,-934.2118935926878,-50.0,3.406207563697867,6.115369983329499,0
-322.01782713909927,-930.5426716026901,-50.0,3.406207563697867,6.115369983329499,0
-319.97410260088054,-926.8734496126924,-50.0,5.087485111366987,4.808065644478997,0
-316.9216115340604,-923.988610226005,-50.0,6.925216987368231,1.0204752215837873,0
-312.7664813416395,-923.3763250930548,-50.0,5.087485111367029,4.808065644478952,0
-309.71399027481925,-920.4914857063674,-50.0,5.087485111367029,4.808065644478952,0
-306.661499207999,-917.60664631968,-50.0,5.087485111367029,4.808065644478952,0
-303.6090081411787,-914.7218069329925,-50.0,5.087485111367029,4.808065644478952,0
-300.55651707435845,-911.8369675463051,-50.0,6.925216987368248,1.0204752215836672,0
-296.40138688193747,-911.2246824133549,-50.0,6.911559645843284,-1.1092083942842585,0
-292.2544510944315,-911.8902074499255,-50.0,6.911559645843284,-1.1092083942842585,0
-288.1075153069255,-912.555732486496,-50.0,6.911559645843284,-1.1092083942842585,0
-283.9605795194195,-913.2212575230666,-50.0,5.025402415153611,-4.872918075010934,0
-280.94533807032735,-916.1450083680731,-50.0,6.911559645843284,-1.1092083942842585,0
-276.79840228282137,-916.8105334046437,-50.0,6.911559645843284,-1.1092083942842585,0
-272.6514664953154,-917.4760584412143,-50.0,6.911559645843284,-1.1092083942842585,0
-268.5045307078094,-918.1415834777848,-50.0,6.297834011082069,3.0556974275700033,0
-264.72583030116016,-916.3081650212428,-50.0,6.297834011082069,3.0556974275700033,0
-260.9471298945109,-914.4747465647008,-50.0,6.297834011082069,3.0556974275700033,0
-257.16842948786166,-912.6413281081589,-50.0,6.297834011082069,3.0556974275700033,0
-253.3897290812124,-910.8079096516168,-50.0,6.297834011082069,3.0556974275700033,0
-249.61102867456316,-908.9744911950747,-50.0,6.297834011082069,3.0556974275700033,0
-245.8323282679139,-907.1410727385328,-50.0,6.297834011082069,3.0556974275700033,0
-242.05362786126466,-905.3076542819908,-50.0,6.297834011082069,3.0556974275700033,0
-238.2749274546154,-903.4742358254488,-50.0,6.297834011082069,3.0556974275700033,0
-234.49622704796616,-901.6408173689067,-50.0,6.297834011082069,3.0556974275700033,0
-230.7175266413169,-899.8073989123648,-50.0,6.297834011082069,3.0556974275700033,0
-226.93882623466766,-897.9739804558228,-50.0,6.297834011082069,3.0556974275700033,0
-223.1601258280184,-896.1405619992807,-50.0,6.297834011082069,3.0556974275700033,0
-219.38142542136916,-894.3071435427387,-50.0,6.297834011082069,3.0556974275700033,0
-215.6027250147199,-892.4737250861967,-50.0,6.911559645843284,-1.1092083942842585,0
-211.45578922721393,-893.1392501227673,-50.0,6.911559645843284,-1.1092083942842585,0
-207.30885343970795,-893.8047751593379,-50.0,6.911559645843284,-1.1092083942842585,0
-203.16191765220196,-894.4703001959084,-50.0,6.911559645843284,-1.1092083942842585,0
-199.01498186469598,-895.135825232479,-50.0,6.911559645843284,-1.1092083942842585,0
-194.86804607719,-895.8013502690495,-50.0,6.911559645843284,-1.1092083942842585,0
-190.72111028968402,-896.4668753056201,-50.0,6.911559645843284,-1.1092083942842585,0
-186.57417450217804,-897.1324003421906,-50.0,6.911559645843284,-1.1092083942842585,0
-182.42723871467206,-897.7979253787612,-50.0,6.2581261933280405,-3.1362169166659193,0
-178.67236299867523,-899.6796555287608,-50.0,6.9252169873682625,1.0204752215835746,0
-174.51723280625424,-899.0673703958106,-50.0,5.0874851113671244,4.808065644478852,0
-171.46474173943398,-896.1825310091233,-50.0,5.0874851113671244,4.808065644478852,0
-168.4122506726137,-893.297691622436,-50.0,5.0874851113671244,4.808065644478852,0
-165.35975960579344,-890.4128522357487,-50.0,5.0874851113671244,4.808065644478852,0
-162.30726853897318,-887.5280128490614,-50.0,5.0874851113671244,4.808065644478852,0
-159.2547774721529,-884.6431734623741,-50.0,6.9252169873682625,1.0204752215835746,0
-155.09964727973193,-884.030888329424,-50.0,5.0874851113671244,4.808065644478852,0
-152.04715621291166,-881.1460489427366,-50.0,5.0874851113671244,4.808065644478852,0
-148.9946651460914,-878.2612095560494,-50.0,1.409630671164081,6.856598381917487,0
-148.14888674339295,-874.1472505268989,-50.0,-2.778081419414038,6.425127518353739,0
-149.81573559504136,-870.2921740158866,-50.0,-2.778081419414038,6.425127518353739,0
-151.48258444668977,-866.4370975048744,-50.0,-2.778081419414038,6.425127518353739,0
-153.14943329833818,-862.5820209938622,-50.0,-2.778081419414038,6.425127518353739,0
-154.8162821499866,-858.7269444828501,-50.0,-2.778081419414038,6.425127518353739,0
-156.483131001635,-854.8718679718378,-50.0,-2.778081419414038,6.425127518353739,0
-158.1499798532834,-851.0167914608255,-50.0,-2.778081419414038,6.425127518353739,0
-159.81682870493182,-847.1617149498134,-50.0,-2.778081419414038,6.425127518353739,0
-161.48367755658023,-843.3066384388012,-50.0,-2.778081419414038,6.425127518353739,0
-163.15052640822864,-839.4515619277889,-50.0,-2.778081419414038,6.425127518353739,0
-164.81737525987705,-835.5964854167767,-50.0,-2.778081419414038,6.425127518353739,0
-166.48422411152546,-831.7414089057645,-50.0,-2.7780814194140033,6.425127518353754,0
-168.15107296317387,-827.8863323947522,-50.0,-2.7780814194140033,6.425127518353754,0
-169.81792181482228,-824.03125588374,-50.0,-2.7780814194140033,6.425127518353754,0
-171.4847706664707,-820.1761793727277,-50.0,-2.7780814194140033,6.425127518353754,0
-173.1516195181191,-816.3211028617154,-50.0,-2.7780814194140033,6.425127518353754,0
-174.81846836976752,-812.4660263507031,-50.0,-2.7780814194140033,6.425127518353754,0
-176.48531722141593,-808.6109498396909,-50.0,-2.7780814194140033,6.425127518353754,0
-178.15216607306434,-804.7558733286786,-50.0,-2.7780814194140033,6.425127518353754,0
-179.81901492471275,-800.9007968176663,-50.0,-2.7780814194140033,6.425127518353754,0
-181.48586377636116,-797.0457203066541,-50.0,-2.7780814194140033,6.425127518353754,0
-183.15271262800957,-793.1906437956418,-50.0,-2.7780814194140033,6.425127518353754,0
-184.81956147965798,-789.3355672846295,-50.0,1.409630671164081,6.856598381917487,0
-183.97378307695953,-785.221608255479,-50.0,1.409630671164081,6.856598381917487,0
-183.1280046742611,-781.1076492263286,-50.0,5.0874851113671244,4.808065644478852,0
-180.07551360744083,-778.2228098396413,-50.0,6.925216987368277,1.020475221583482,0
-175.92038341501984,-777.6105247066912,-50.0,6.925216987368277,1.020475221583482,0
-171.76525322259886,-776.9982395737411,-50.0,6.925216987368277,1.020475221583482,0
-167.61012303017787,-776.385954440791,-50.0,6.925216987368277,1.020475221583482,0
-163.4549928377569,-775.7736693078409,-50.0,6.925216987368277,1.020475221583482,0
-159.2998626453359,-775.1613841748908,-50.0,6.925216987368277,1.020475221583482,0
-155.14473245291492,-774.5490990419407,-50.0,6.925216987368277,1.020475221583482,0
-150.98960226049394,-773.9368139089906,-50.0,6.925216987368277,1.020475221583482,0
-146.83447206807296,-773.3245287760406,-50.0,6.925216987368277,1.020475221583482,0
-142.67934187565197,-772.7122436430905,-50.0,6.925216987368277,1.020475221583482,0
-138.524211683231,-772.0999585101404,-50.0,6.925216987368277,1.020475221583482,0
-134.36908149081,-771.4876733771903,-50.0,6.925216987368277,1.020475221583482,0
-130.21395129838902,-770.8753882442402,-50.0,6.925216987368277,1.020475221583482,0
-126.05882110596804,-770.2631031112901,-50.0,6.925216987368277,1.020475221583482,0
-121.90369091354705,-769.65081797834,-50.0,6.925216987368277,1.020475221583482,0
-117.74856072112607,-769.0385328453899,-50.0,6.925216987368277,1.020475221583482,0
-113.59343052870508,-768.4262477124398,-50.0,6.925216987368277,1.020475221583482,0
-109.4383003362841,-767.8139625794897,-50.0,6.925216987368277,1.020475221583482,0
-105.28317014386312,-767.2016774465396,-50.0,6.925216987368277,1.020475221583482,0
-101.12803995144213,-766.5893923135895,-50.0,6.925216987368277,1.020475221583482,0
-96.97290975902115,-765.9771071806395,-50.0,6.925216987368277,1.020475221583482,0
-92.81777956660017,-765.3648220476894,-50.0,6.925216987368277,1.020475221583482,0
-88.66264937417918,-764.7525369147393,-50.0,6.925216987368277,1.020475221583482,0
-84.5075191817582,-764.1402517817892,-50.0,6.925216987368277,1.020475221583482,0
-80.35238898933721,-763.5279666488391,-50.0,6.925216987368277,1.020475221583482,0
-76.19725879691623,-762.915681515889,-50.0,6.925216987368277,1.020475221583482,0
-72.04212860449525,-762.3033963829389,-50.0,6.925216987368277,1.020475221583482,0
-67.88699841207426,-761.6911112499888,-50.0,5.0874851113671244,4.808065644478852,0
-64.834507345254,-758.8062718633015,-50.0,1.409630671164081,6.856598381917487,0
-63.988728942555554,-754.692312834151,-50.0,-2.7780814194140033,6.425127518353754,0
-65.65557779420396,-750.8372363231388,-50.0,-2.7780814194140033,6.425127518353754,0
-67.32242664585237,-746.9821598121265,-50.0,-2.7780814194140033,6.425127518353754,0
-68.98927549750078,-743.1270833011142,-50.0,-2.7780814194140033,6.425127518353754,0
-70.6561243491492,-739.272006790102,-50.0,-2.7780814194140033,6.425127518353754,0
-72.3229732007976,-735.4169302790897,-50.0,-2.7780814194140033,6.425127518353754,0
-73.98982205244602,-731.5618537680774,-50.0,-2.7780814194140033,6.425127518353754,0
-75.65667090409443,-727.7067772570651,-50.0,-2.7780814194140033,6.425127518353754,0
-77.32351975574284,-723.8517007460529,-50.0,-2.7780814194140033,6.425127518353754,0
-78.99036860739125,-719.9966242350406,-50.0,-0.7174302329303894,6.963138219285716,0
-79.42082674714948,-715.8187413034692,-50.0,3.406207563698092,6.115369983329374,0
-77.37710220893064,-712.1495193134716,-50.0,6.297834011082107,3.0556974275699265,0
-73.59840180228139,-710.3161008569297,-50.0,6.925216987368277,1.020475221583482,0
-69.4432716098604,-709.7038157239796,-50.0,6.297834011082107,3.0556974275699265,0
-65.66457120321115,-707.8703972674376,-50.0,6.297834011082107,3.0556974275699265,0
-61.8858707965619,-706.0369788108957,-50.0,6.297834011082107,3.0556974275699265,0
-58.10717038991265,-704.2035603543537,-50.0,6.297834011082107,3.0556974275699265,0
-54.3284699832634,-702.3701418978118,-50.0,6.297834011082107,3.0556974275699265,0
-50.54976957661415,-700.5367234412698,-50.0,6.297834011082107,3.0556974275699265,0
-46.7710691699649,-698.7033049847279,-50.0,6.297834011082107,3.0556974275699265,0
-42.99236876331565,-696.8698865281859,-50.0,6.297834011082107,3.0556974275699265,0
-39.2136683566664,-695.036468071644,-50.0,6.297834011082107,3.0556974275699265,0
-35.43496795001715,-693.203049615102,-50.0,6.297834011082107,3.0556974275699265,0
-31.656267543367903,-691.3696311585601,-50.0,6.297834011082107,3.0556974275699265,0
-27.877567136718653,-689.5362127020181,-50.0,6.297834011082107,3.0556974275699265,0
-24.098866730069403,-687.7027942454762,-50.0,6.925216987368277,1.020475221583482,0
-19.94373653764842,-687.0905091125261,-50.0,5.0874851113671244,4.808065644478852,0
-16.891245470828153,-684.2056697258388,-50.0,5.0874851113671244,4.808065644478852,0
-13.838754404007886,-681.3208303391515,-50.0,6.925216987368277,1.020475221583482,0
-9.683624211586903,-680.7085452062014,-50.0,6.925216987368277,1.020475221583482,0
-5.528494019165919,-680.0962600732513,-50.0,6.925216987368277,1.020475221583482,0
-1.373363826744935,-679.4839749403012,-50.0,6.925216987368277,1.020475221583482,0
2.7817663656760487,-678.8716898073511,-50.0,6.925216987368277,1.020475221583482,0
6.9368965580970325,-678.259404674401,-50.0,6.925216987368277,1.020475221583482,0
11.092026750518016,-677.6471195414509,-50.0,6.925216987368277,1.020475221583482,0
15.247156942939,-677.0348344085008,-50.0,6.925216987368277,1.020475221583482,0
19.402287135359984,-676.4225492755508,-50.0,6.925216987368277,1.020475221583482,0
23.557417327780968,-675.8102641426007,-50.0,5.0874851113671244,4.808065644478852,0
26.609908394601234,-672.9254247559134,-50.0,5.0874851113671244,4.808065644478852,0
29.6623994614215,-670.040585369226,-50.0,1.409630671164081,6.856598381917487,0
1370.50817786412,674.0733736599244,-50.0,0,0,0
