x_m_w,y_m_w,z_m_w,vx_m_s,vy_m_s,vz_m_s
-568.5699217851115,-692.2947175609695,-50,-6.957549555455923,-0.7697429333063673,0
-572.7444515183851,-692.7565633209533,-50,-6.957549555455923,-0.7697429333063673,0
-576.9189812516586,-693.2184090809371,-50,-6.957549555455923,-0.7697429333063673,0
-581.0935109849321,-693.680254840921,-50,-6.957549555455923,-0.7697429333063673,0
-585.2680407182056,-694.1421006009048,-50,-6.957549555455923,-0.7697429333063673,0
-589.4425704514791,-694.6039463608886,-50,-6.630988761264189,2.242763484629625,0
-593.4211637082376,-693.2582882701108,-50,-6.630988761264189,2.242763484629625,0
-597.3997569649961,-691.9126301793331,-50,-6.957549555455923,-0.7697429333063673,0
-601.5742866982696,-692.3744759393169,-50,-6.957549555455923,-0.7697429333063673,0
-605.7488164315431,-692.8363216993007,-50,-6.957549555455923,-0.7697429333063673,0
-609.9233461648166,-693.2981674592845,-50,-5.980373920341973,-3.6380115135735327,0
-613.5115705170218,-695.4809743674286,-50,-5.980373920341973,-3.6380115135735327,0
-617.099794869227,-697.6637812755728,-50,-5.980373920341973,-3.6380115135735327,0
-620.6880192214322,-699.8465881837169,-50,-6.957549555455923,-0.7697429333063673,0
-624.8625489547057,-700.3084339437007,-50,-6.957549555455923,-0.7697429333063673,0
-629.0370786879793,-700.7702797036845,-50,-6.957549555455923,-0.7697429333063673,0
-633.2116084212528,-701.2321254636684,-50,-6.957549555455923,-0.7697429333063673,0
-637.3861381545263,-701.6939712236522,-50,-6.957549555455923,-0.7697429333063673,0
-641.5606678877998,-702.155816983636,-50,-6.957549555455923,-0.7697429333063673,0
-645.7351976210733,-702.6176627436198,-50,-6.957549555455923,-0.7697429333063673,0
-649.9097273543468,-703.0795085036036,-50,-6.957549555455923,-0.7697429333063673,0
-654.0842570876204,-703.5413542635874,-50,-6.957549555455923,-0.7697429333063673,0
-658.2587868208939,-704.0032000235713,-50,-6.957549555455923,-0.7697429333063673,0
-662.4333165541674,-704.4650457835551,-50,-6.957549555455923,-0.7697429333063673,0
-666.6078462874409,-704.9268915435389,-50,-6.630988761264189,2.242763484629625,0
-670.5864395441994,-703.5812334527611,-50,-6.630988761264189,2.242763484629625,0
-674.5650328009579,-702.2355753619834,-50,-6.630988761264189,2.242763484629625,0
-678.5436260577163,-700.8899172712056,-50,-6.630988761264189,2.242763484629625,0
-682.5222193144748,-699.5442591804278,-50,-6.957549555455923,-0.7697429333063673,0
-686.6967490477483,-700.0061049404117,-50,-6.959230713647095,0.7543923874423354,0
-690.8722874759366,-699.5534695079463,-50,-6.957549555455923,-0.7697429333063673,0
-695.0468172092101,-700.0153152679301,-50,-6.626024987014288,-2.257386292033842,0
-699.0224322014186,-701.3697470431504,-50,-6.626024987014288,-2.257386292033842,0
-702.9980471936271,-702.7241788183707,-50,-6.626024987014288,-2.257386292033842,0
-706.9736621858357,-704.078610593591,-50,-6.626024987014288,-2.257386292033842,0
-710.9492771780442,-705.4330423688112,-50,-6.626024987014288,-2.257386292033842,0
-714.9248921702527,-706.7874741440315,-50,-6.626024987014288,-2.257386292033842,0
-718.9005071624613,-708.1419059192518,-50,-6.626024987014288,-2.257386292033842,0
