x_m_w,y_m_w,z_m_w,vx_m_s,vy_m_s,vz_m_s
-503.9344973851364,-675.8129121900806,-50.0,4.030445956734599,-5.723242559060529,0
-501.5162298110956,-679.246857725517,-50.0,4.030445956734599,-5.723242559060529,0
-499.09796223705484,-682.6808032609533,-50.0,4.030445956734599,-5.723242559060529,0
-496.67969466301406,-686.1147487963897,-50.0,4.030445956734599,-5.723242559060529,0
-494.2614270889733,-689.548694331826,-50.0,0.018830973456829714,-6.999974670985507,0
-494.2501285048992,-693.7486791344173,-50.0,-2.0869735613634344,-6.681657081455919,0
-495.50231264171725,-697.7576733832909,-50.0,-3.999595095928253,-5.7448445643573915,0
-497.9020696992742,-701.2045801219053,-50.0,-6.571383971772641,-2.411827667046225,0
-501.84490008233774,-702.6516767221331,-50.0,-6.766330132642732,1.7935374364899637,0
-505.9046981619234,-701.5755542602391,-50.0,-4.51392234920432,5.350187382265574,0
-508.613051571446,-698.3654418308797,-50.0,-4.51392234920432,5.350187382265574,0
-511.3214049809686,-695.1553294015204,-50.0,-4.51392234920432,5.350187382265574,0
-514.0297583904912,-691.945216972161,-50.0,-4.51392234920432,5.350187382265574,0
-516.7381118000138,-688.7351045428017,-50.0,-4.51392234920432,5.350187382265574,0
-519.4464652095364,-685.5249921134423,-50.0,-4.51392234920432,5.350187382265574,0
-522.154818619059,-682.3148796840829,-50.0,-4.51392234920432,5.350187382265574,0
-524.8631720285816,-679.1047672547236,-50.0,-4.51392234920432,5.350187382265574,0
-527.5715254381042,-675.8946548253642,-50.0,-2.6961718845156666,6.459927025063615,0
-529.1892285688136,-672.018698610326,-50.0,-0.6288473075824133,6.971696426533958,0
-529.5665369533631,-667.8356807544056,-50.0,1.496687211168245,6.838123089848955,0
-528.6685246266621,-663.7328069004963,-50.0,5.148200661895007,4.742997991235481,0
-525.5796042295251,-660.887008105755,-50.0,6.336173240104171,2.9753837855624305,0
-521.7779002854626,-659.1017778344175,-50.0,6.9376309820342605,0.9323499113092355,0
-517.6153216962421,-658.5423678876319,-50.0,6.336173240104171,2.9753837855624305,0
-513.8136177521795,-656.7571376162945,-50.0,6.336173240104171,2.9753837855624305,0
-510.011913808117,-654.971907344957,-50.0,6.336173240104171,2.9753837855624305,0
-506.2102098640545,-653.1866770736195,-50.0,6.336173240104171,2.9753837855624305,0
-502.40850591999197,-651.4014468022821,-50.0,6.336173240104171,2.9753837855624305,0
-498.60680197592944,-649.6162165309446,-50.0,6.336173240104171,2.9753837855624305,0
-494.8050980318669,-647.8309862596071,-50.0,6.336173240104171,2.9753837855624305,0
-491.0033940878044,-646.0457559882697,-50.0,6.336173240104171,2.9753837855624305,0
-487.20169014374187,-644.2605257169322,-50.0,6.336173240104171,2.9753837855624305,0
-483.39998619967935,-642.4752954455947,-50.0,6.336173240104171,2.9753837855624305,0
-479.5982822556168,-640.6900651742573,-50.0,6.336173240104171,2.9753837855624305,0
-475.7965783115543,-638.9048349029198,-50.0,3.483679234100972,6.071571377649584,0
-473.7063707710937,-635.26189207633,-50.0,3.483679234100972,6.071571377649584,0
-471.6161632306331,-631.6189492497402,-50.0,-0.6288473075824133,6.971696426533958,0
-471.99347161518256,-627.4359313938198,-50.0,-0.6288473075824133,6.971696426533958,0
-472.370779999732,-623.2529135378994,-50.0,-0.6288473075824133,6.971696426533958,0
-472.74808838428146,-619.069895681979,-50.0,-0.6288473075824133,6.971696426533958,0
-473.1253967688309,-614.8868778260586,-50.0,-0.6288473075824133,6.971696426533958,0
-473.50270515338036,-610.7038599701382,-50.0,-0.6288473075824133,6.971696426533958,0
-473.8800135379298,-606.5208421142178,-50.0,-0.6288473075824133,6.971696426533958,0
-474.25732192247926,-602.3378242582974,-50.0,-0.6288473075824133,6.971696426533958,0
-474.6346303070287,-598.154806402377,-50.0,-0.6288473075824133,6.971696426533958,0
-475.01193869157817,-593.9717885464565,-50.0,-0.6288473075824133,6.971696426533958,0
-475.3892470761276,-589.7887706905361,-50.0,3.483679234100972,6.071571377649584,0
-473.299039535667,-586.1458278639464,-50.0,5.148200661895102,4.742997991235378,0
-470.21011913853,-583.3000290692052,-50.0,6.9376309820342605,0.9323499113092355,0
-466.0475405493095,-582.7406191224196,-50.0,6.336173240104171,2.9753837855624305,0
-462.24583660524695,-580.9553888510821,-50.0,6.336173240104171,2.9753837855624305,0
-458.4441326611844,-579.1701585797447,-50.0,6.336173240104171,2.9753837855624305,0
-454.6424287171219,-577.3849283084072,-50.0,6.336173240104171,2.9753837855624305,0
-450.8407247730594,-575.5996980370697,-50.0,6.336173240104171,2.9753837855624305,0
-447.03902082899685,-573.8144677657323,-50.0,6.336173240104171,2.9753837855624305,0
-443.23731688493433,-572.0292374943948,-50.0,6.336173240104171,2.9753837855624305,0
-439.4356129408718,-570.2440072230573,-50.0,6.336173240104171,2.9753837855624305,0
-435.6339089968093,-568.4587769517199,-50.0,6.336173240104171,2.9753837855624305,0
-431.83220505274676,-566.6735466803824,-50.0,6.336173240104171,2.9753837855624305,0
-428.03050110868423,-564.8883164090449,-50.0,6.336173240104171,2.9753837855624305,0
-424.2287971646217,-563.1030861377075,-50.0,6.336173240104171,2.9753837855624305,0
-420.4270932205592,-561.31785586637,-50.0,6.336173240104171,2.9753837855624305,0
-416.62538927649666,-559.5326255950325,-50.0,6.9376309820342605,0.9323499113092355,0
-412.46281068727615,-558.973215648247,-50.0,6.896899291100133,-1.1969879566739516,0
-408.3246711126161,-559.6914084222514,-50.0,6.896899291100133,-1.1969879566739516,0
-404.18653153795606,-560.4096011962557,-50.0,6.896899291100133,-1.1969879566739516,0
-400.048391963296,-561.1277939702601,-50.0,6.896899291100133,-1.1969879566739516,0
-395.91025238863597,-561.8459867442645,-50.0,6.217748541016954,-3.2155253195522393,0
-392.1796032640258,-563.7753019359958,-50.0,6.217748541016954,-3.2155253195522393,0
